Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Document\Caractéristiques Générales\Catégorie\Niveau de classement de la typologie du document;\Univers\Univers\Univers\Concept\Terme métier;Niveau hiérarchique de classification d'un document en fonction de sa typologie ou de ses caractéristiques spécifiques.;7b731b6d-0a52-4254-86ad-8cac1e01a139;File Classification Exact Category;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de collecte de matériaux issus de véhicules en fin de vie;\Univers\Univers\Univers\Concept\Terme métier;Niveau de collecte de matériaux issus de véhicules en fin de vie pour les réinsérer dans le cycle de production de l'entreprise du secteur de la construction automobile et des composants automobiles (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);d9d1ede7-f48d-46f8-bec2-efc2ff81fe4e;Reuse of materials from end-of-life vehicles implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de conception de produits de manière à réduire leur consommation à l'usage et à limiter l'obsolescence programmée;\Univers\Univers\Univers\Concept\Terme métier;Niveau de conception de produits de manière à réduire leur consommation à l'usage et à limiter l'obsolescence programmée par l'entreprise du secteur des produits électriques, plastiques (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);034518d0-655e-4f0b-a3eb-68131f1a9033;Design of products to reduce their consumption during use and to limit planned obsolescence level;
\Modèle Objets Métier - MOM\Dossier\Caractéristiques Générales\Informations signalétiques\Niveau de confidentialité;\Univers\Univers\Univers\Concept\Terme métier;Décrit le niveau de confidentialité du dossier.;1bf3fecd-2d6e-4331-9b3d-8156b8aeea81;Privacy level;
\Modèle Objets Métier - MOM\Document\Caractéristiques Générales\Protection\Niveau de confidentialité GED;\Univers\Univers\Univers\Concept\Terme métier;Classification affectée à un niveau de confidentialité GED;7463da7d-a831-4f0e-8fbc-20d8833ea2c9;EDM Privacy level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de création de filières écocirculaires;\Univers\Univers\Univers\Concept\Terme métier;Niveau de création de filières écocirculaires dans toute la chaîne de valeur, pour la réparabilité et le recyclage des produits (ex. produits modulables, produits reconditionnés, nouvelles matières premières) par l'entreprise du secteur des produits électriques, plastiques, du métal/des matériaux  (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);c3366161-0087-4323-8692-a3e92211d083;Ecocircular sectors creation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de Création de Services Touristiques d'Écoconception;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place de solutions touristiques éco-responsables;0d3ad94e-5527-4552-8117-f38012a838a6;Ecodesign Tourist Service Creation Level;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Niveau de détention;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de détention d'une entité personne physique ou morale basé sur un lien capitalistique. 
1 correspond à une filiale directe, au dela il s'agit de filiales indirectes.";57cb06b2-5a26-459b-ba51-d1b47d4b0323;Holding level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement d'un service numérique permettant aux utilisateurs de réduire leur impact environnemental;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement d'un service numérique permettant aux utilisateurs de réduire leur impact environnemental. Pour le secteur du Numérique Software cette donnée est mesurée selon l'échelle suivante (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné);c78e6847-59f4-4c03-b39e-50eb4e67a026;User Impact Reduction Solution Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement d’activités de rénovation du bâti existant;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement d’activités de rénovation du bâti existant (afin d’éviter l’artificialisation des sols et de réduire le nombre d’immeubles vétustes) pour l'entreprise du secteur du BTP (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);3809c708-3d08-47e6-916c-8be961cf8e2d;Renovation activities of existing buildings development level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement de matériaux et méthodes moins gourmands en matières premières;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement de matériaux et méthodes moins gourmands en matières premières (innovation chimique et technique) pour l'entreprise du secteur du BTP (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);2eeeaf55-b119-43cf-ad4e-610570e736e1;Materials and methods that consume less raw materials development level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement de réseaux d'approvisionnement numériques;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de développement de réseaux d'approvisionnement numériques (DSN) pour augmenter la transparence et la traçabilité tout au long de la chaîne de valeur
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";435109b5-b616-4487-8013-3113cd0a68f0;Digital Supply Network Developement Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement de solutions durables permettant d'éviter les pertes au niveau du stockage alimentaire;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement de solutions durables permettant d'éviter les pertes au niveau du stockage alimentaire de l'entreprise du secteur de l'agriculture (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);dc9e8a29-42bf-40c5-bbbf-5da6e65d36e1;Sustainable solutions to avoid losses in food storage development level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement de variétés/choix de semences plus résistantes;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement de variétés/choix de semences plus résistantes au changement climatique et aux maladies, et moins demandeuses en intrants (ex. eau, pesticides, fongicides) de l'entreprise du secteur de l'agriculture (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);ae6cbc55-ec04-4422-8691-d7ade91fef92;Varieties/choice of more resistant seeds development level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de développement des filières de recyclage des matériaux;\Univers\Univers\Univers\Concept\Terme métier;Niveau de développement des filières de recyclage des matériaux (déchets et/ou réemploi) pour l'entreprise du secteur du BTP (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);ce87e92b-b0b8-4096-abc6-78993cc716c0;Material recycling channels development level;
\Modèle Objets Métier - MOM\Tiers\Données descriptives générales\Catégorisation\Niveau de développement du pays;\Univers\Univers\Univers\Concept\Terme métier;"Le type de développement du pays. Il peut être ""développé"" ou ""en développement"".";519a1eeb-3e33-4a07-be2e-89c538ae3a17;Country Development Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de digitalisation du processus de flux;\Univers\Univers\Univers\Concept\Terme métier;Niveau de digitalisation du processus de flux : logiciels de suivi, achats… de l'entreprise du secteur du BTP (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);7656d728-e31e-4497-a3cf-aee0b53504c7;Supply process digitization level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de lutte contre le gaspillage alimentaire;\Univers\Univers\Univers\Concept\Terme métier;Niveau de lutte contre le gaspillage alimentaire (en amont, pendant et en aval des opérations) de l'entreprise du secteur de l'industrie alimentaire  (1: Pas de solution, 2 : Solution qui améliore les pratiques existantes, 3 : Solution en rupture avec les pratiques existantes, 0 : Non concerné);060fea92-21fa-4b1e-bab4-7492902a3cf9;Food waste fight level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de Mesure de l'Impact Environnemental;\Univers\Univers\Univers\Concept\Terme métier;L'entreprise a-t-elle mis en place un outil de mesure de son impact ?;de1976e8-1261-41b0-ac28-1322116827f4;Environment Impact Measurement Solution Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mesure de la consommation des machines et actions d'optimisation;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mesure de la consommation des machines et actions d'optimisation de l'entreprise du secteur de la construction automobile et des composants automobiles et du métal/des matériaux (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);d453321f-6316-4759-bc16-bbf653ed0f3f;Machine consumption and optimization actions measurement level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre d'actions de récupération et recyclage;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre d'actions de récupération et recyclage/réutilisation des produits en fin de vie
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";18521ed1-067d-43d8-92a3-15e53653b54f;Implementation Level Of Recycling Actions;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre d'un modèle d'affaire favorisant l'usage plutôt que l'achat;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre d'un modèle d'affaires favorisant l'usage plutôt que l'achat du produit (ex: modèle de location, économie de la fonctionnalité, valorisation des données issues du produit...)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";5721ae2c-df23-49df-b11e-a300ef5d03cf;Implementation Level of Usage-Oriented Business Plan;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre d'un service de reconditionnement et réemploi;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre d'un service de reconditionnement, de réemploi et de seconde main (ou activité s'inscrivant dans le cadre de l'économie circulaire)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";2fcfa76f-d1b5-49d5-b1f6-3a4b90e44384;Implementation Level Of Prodcte Reconditioning Service;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre d'un service de réparation de produits et de garantie supérieure à la durée légale;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre d'un service de réparation des produits, et/ou offre de garantie d'une durée supérieure à la durée légale
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";24660adf-67b7-4e0a-bae5-9bb46a82e3e7;Implementation Level Of Product Repairability Service;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en oeuvre d'une gamme de produits aidant les utilisateurs à réduire leur impact environnemental;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre d'une gamme de produits/services permettant d'aider les utilisateurs à réduire leur empreinte environnementale
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";194f1d70-82ef-48eb-852e-dc0b2160b7c6;Implementation Level Of Product Range to help users reduce their environnmental impact;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre de démarches d'éco-conception;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en œuvre de démarches d'éco conception : allègement des produits, limitation du nombre de matériaux, réduction de la matière utilisée, produits modulaires, etc...
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante  :  
 (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné)";ac438ffd-a49d-433c-84ed-a34f860061df;Implementation Level of Ecodesign Approach;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en œuvre de solutions de réduction de l'impact environnemental des équipements numériques;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en œuvre de solutions de réduction de l'impact environnemental des équipements numériques. Pour le secteur du Numérique Software la donnée est mesurée selon l'échelle suivante(0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné);c8d40a2d-7d7f-44ce-9255-b894df21029c;Equipment Impact Reduction Solution Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de Mise en Œuvre du Plan de Restauration à Long Terme;\Univers\Univers\Univers\Concept\Terme métier;L'entreprise a-t-elle un plan long terme de restauration environnementale ?;ce838450-f64b-4545-81d9-59e09dd88910;Long-Term Restoration Plan Implementation Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'actions d'augmentation de durée de vie des matériaux;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'actions d'augmentation de durée de vie des matériaux
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";df1dcfc3-acad-49ae-86fe-234c6a3341ea;Actions To Increase The Lifespan Of Materials Implementation Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'actions d'optimisation des circuits de production;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'actions d'optimisation des circuits de production
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";3910aaac-6c98-42ae-9c7a-cb68962996f2;Process Optimisation Implementation Level In Production;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'actions de diminution des additifs ayant un impact négatif;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'actions de diminution des additifs ayant un impact négatif (toxicité dans le cadre des filières de recyclage)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";397d0fac-c8d4-4814-922f-a2a2774f2673;Negative Impact Additives Reduction Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'actions de rationalisation des déplacements des biens et des personnes;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'actions de rationalisation des déplacements des biens et des personnes (ex. approvisionnement en circuit court,...)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";9f6c9247-f5fe-48af-9cac-8e01ab594e53;Goods and Employees Travel Reduction Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'actions de remplacement des matières premières non-renouvelables par des matières premières renouvelables;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'actions de remplacement des matières premières non renouvelables issues du pétrole par des matières premières renouvelables 
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";c9ee051a-4ad8-417d-ae71-2e456d49a704;Non-Renewable Ressources Replacement Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'allègement des produits;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'allègements des produits de l'entreprise du secteur de la construction automobile et des composants automobiles et des produits électriques et plastiques (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);bf070050-49ad-41eb-a4fd-105270c9a436;Products weight reduction implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'allègement du véhicule à vide;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'allègement du véhicule à vide de l'entreprise du secteur des transports routiers (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);b3cc3c32-3dcf-44df-b481-aae314377a89;Empty Vehicle weight reduction implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'amélioration de la maintenance des véhicules (hors pneumatique);\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'amélioration de la maintenance des véhicules (hors pneumatique) de l'entreprise du secteur des transports routiers (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);3b1a6040-cbc0-4ee9-b8c5-ade1fc8976bc;Vehicle maintenance improvement implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'amélioration de la réparabilité des composants et des systèmes;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'amélioration de la réparabilité des composants et des systèmes dans lesquels ils s’intègrent de l'entreprise du secteur de la construction automobile et des composants automobiles et des produits électriques (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);c8f3208c-2f77-43d3-92b5-dc8406ca067f;Components repairability improvement implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'amélioration de la séparabilité et  des composants et des systèmes;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'amélioration de la séparabilité et de la recyclabilité des composants / matériaux issus de véhicules en fin de vie en vue de leur réutilisation / recyclage de l'entreprise du secteur de la construction automobile et des composants automobiles (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);874fbde9-783c-4c03-a6e0-7ce01a7076f9;Improvement of separability and upcylcing of components implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'approvisionnement en matières premières non issues de la déforestation;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'approvisionnement en matières premières non issues de la déforestation de l'entreprise du secteur de l'agriculture (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);c13f393b-897a-4bbe-978f-0ea4cc409ac9;Non deforesting raw material procurement implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'augmentation de la durée de vie des produits;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'augmentation de la durée de vie des produits de l'entreprise du secteur de la construction automobile et des produits électriques et plastiques et du métal/des matériaux et de l'industrie chimique (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);575d89cb-369a-4421-a130-e56af3bde57e;Products lifespan increase implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'économie circulaire pour réutiliser les sous-produits;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'économie circulaire pour réutiliser les sous-produits de l'entreprise du secteur du métal/des matériaux (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);b2b7cbab-c294-48a3-a1aa-0a5bc037dfbd;Circular economy to reuse by-products implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'installations de chantier;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d’installations de chantier (ex?: bungalows basse consommation) de l'entreprise du secteur du BTP (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);d34dcf1c-6a0b-40ba-8a39-739d3b198e85;Low consumption site facilities implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'outils informatiques d’optimisation des trajets;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'outils informatiques d’optimisation des trajets  de l'entreprise du transport routier (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);d7dc3d31-a429-4c7d-bb46-d743725f59ea;IT tools for optimizing trajectories implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'outils informatiques et logiciels d'optimisation industrielle;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'outils informatiques et logiciels d'optimisation industrielle de l'entreprise du secteur de la construction automobile et des composants automobiles et de produits électriques (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);fc80d111-f66e-463c-b9d1-57af24a385ae;IT tools and industrial optimization software implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase d'utilisation;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique  par phase du cycle de vie du produit. Ici, l'indicateur est mesuré sur la phase d'utilisation (Eviter la lecture automatique des vidéos et sons, compresser les documents, limiter les outils d'analyse et les données collectées)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";f0a133de-9dc0-403f-a44f-84547c8551fc;Usage Eco-conception Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase de conception;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique  par phase du cycle de vie du produit. Ici, l'indicateur est mesuré sur la phase de conception (Optimiser le parcours utilisateur, créer une architecture applicative modulaire, favoriser un design simple adapté au web)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";484a59fb-d163-4829-a729-ff9e5675a059;Conception Eco-conception Level;
